market,timeframe,strategy_family,window,session,market_regime,news_event_regime,total_trades,total_return,win_rate,profit_factor,max_drawdown,average_r,median_r,expectancy,average_holding_minutes
XAUUSD,4H,SUPPORT_RESISTANCE,wf_3,ASIAN,HIGH_VOLATILITY,UNAVAILABLE,1,0.0029732368190171,1.0,inf,0.0,1.486618409508586,1.486618409508586,1.486618409508586,2640.0
XAUUSD,4H,SUPPORT_RESISTANCE,wf_3,ASIAN,LOW_VOLATILITY,UNAVAILABLE,1,0.0029648211263872,1.0,inf,0.0,1.4824105631935935,1.4824105631935935,1.4824105631935935,480.0
XAUUSD,4H,SUPPORT_RESISTANCE,wf_3,ASIAN,RANGING,UNAVAILABLE,1,0.0029764765492994,1.0,inf,0.0,1.488238274649718,1.488238274649718,1.488238274649718,2160.0
XAUUSD,4H,SUPPORT_RESISTANCE,wf_3,LONDON,HIGH_VOLATILITY,UNAVAILABLE,1,0.0029768329114185,1.0,inf,0.0,1.4884164557092825,1.4884164557092825,1.4884164557092825,3120.0
XAUUSD,4H,SUPPORT_RESISTANCE,wf_3,NEW_YORK,HIGH_VOLATILITY,UNAVAILABLE,1,-0.0020234761285836,0.0,0.0,0.0020234761285836,-1.011738064291843,-1.011738064291843,-1.011738064291843,960.0
XAUUSD,4H,SUPPORT_RESISTANCE,wf_3,NEW_YORK,LOW_VOLATILITY,UNAVAILABLE,2,0.0009374342651649,0.5,1.465269027176295,0.0020277714327399,0.2358648104616968,0.2358648104616968,0.2358648104616968,720.0
XAUUSD,4H,SUPPORT_RESISTANCE,wf_3,NEW_YORK,RANGING,UNAVAILABLE,1,0.0029640198792844,1.0,inf,0.0,1.482009939642154,1.482009939642154,1.482009939642154,1920.0
XAUUSD,4H,SUPPORT_RESISTANCE,wf_3,OVERLAP,HIGH_VOLATILITY,UNAVAILABLE,1,-0.0020204864489246,0.0,0.0,0.0020204864489246,-1.010243224462321,-1.010243224462321,-1.010243224462321,1680.0
XAUUSD,4H,SUPPORT_RESISTANCE,wf_3,OVERLAP,LOW_VOLATILITY,UNAVAILABLE,2,-0.0040590480784999,0.0,0.0,0.0040590480784999,-1.015793856688069,-1.015793856688069,-1.015793856688069,1560.0
XAUUSD,4H,SUPPORT_RESISTANCE,wf_3,OVERLAP,TRENDING,UNAVAILABLE,3,-0.0011084246431972,0.3333333333333333,0.7287778852334047,0.0040536410649908,-0.1834255910392749,-1.0136118095808515,-0.1834255910392749,1120.0
