strategy_family,variant,window,pair,total_trades,total_return,win_rate,profit_factor,max_drawdown,average_r,median_r,expectancy,average_holding_minutes
BREAKOUT,ASIAN_RANGE_CLOSE,wf_2,AUDUSD,568,-0.37536342421533897,0.29577464788732394,0.492835265674007,0.3813122950551683,-0.41276008085481797,-1.1240497154171432,-0.41276008085481797,24.463028169014084
BREAKOUT,ASIAN_RANGE_CLOSE,wf_2,EURUSD,590,-0.4080928118839865,0.2864406779661017,0.46488342076408185,0.4095664741258426,-0.4429322084898942,-1.1389351400176126,-0.4429322084898942,22.110169491525422
BREAKOUT,ASIAN_RANGE_CLOSE,wf_2,GBPUSD,547,-0.22058765593447605,0.34552102376599636,0.6820053833067264,0.2279276537671735,-0.22634103445069698,-1.0691775291265428,-0.22634103445069698,25.20109689213894
BREAKOUT,ASIAN_RANGE_CLOSE,wf_2,USDJPY,584,-0.13007424332494644,0.3921232876712329,0.8221140738613316,0.1469861397569735,-0.11781237462151763,-1.0551490573188747,-0.11781237462151763,25.89041095890411
BREAKOUT,ASIAN_RANGE_CLOSE,wf_3,AUDUSD,565,-0.4398927844548455,0.2849557522123894,0.414732515170807,0.44163334453467185,-0.5114053558834493,-1.165761275135775,-0.5114053558834493,17.371681415929203
BREAKOUT,ASIAN_RANGE_CLOSE,wf_3,EURUSD,547,-0.2888363448764065,0.3436928702010969,0.5963144265984988,0.291593749920329,-0.3100525157321271,-1.136963182064619,-0.3100525157321271,23.062157221206583
BREAKOUT,ASIAN_RANGE_CLOSE,wf_3,GBPUSD,571,-0.31111767138187585,0.3222416812609457,0.5753501069523169,0.31633699604142274,-0.32487339080735367,-1.0967529248182935,-0.32487339080735367,18.362521891418563
BREAKOUT,ASIAN_RANGE_CLOSE,wf_3,USDJPY,573,-0.11793928172304813,0.39965095986038396,0.8371716865695134,0.14867226569329284,-0.10799607419551822,-1.0531223092915625,-0.10799607419551822,19.79930191972077
BREAKOUT,ASIAN_RANGE_RETEST,oos,AUDUSD,406,-0.31989572610440675,0.29310344827586204,0.44454842932072425,0.3248616365974971,-0.47324053216623174,-1.1675673009228933,-0.47324053216623174,18.238916256157637
BREAKOUT,ASIAN_RANGE_RETEST,oos,EURUSD,372,-0.23732172051314904,0.30913978494623656,0.5372397372275075,0.23938442238479074,-0.3626689657018676,-1.1074152109722724,-0.3626689657018676,19.932795698924732
BREAKOUT,ASIAN_RANGE_RETEST,oos,GBPUSD,400,-0.18336556735035858,0.3425,0.6542160424333153,0.18636181327920476,-0.25173219451862333,-1.0868560408053587,-0.25173219451862333,20.775
BREAKOUT,ASIAN_RANGE_RETEST,oos,USDJPY,371,-0.1648412911629853,0.3423180592991914,0.6646329976530448,0.17550800366046868,-0.24130663519486592,-1.0713224444178522,-0.24130663519486592,17.911051212938006
BREAKOUT,ASIAN_RANGE_RETEST,wf_1,AUDUSD,366,-0.13959781297786278,0.3743169398907104,0.7127232688428047,0.1485913071689666,-0.20390564951650283,-1.0925927934446114,-0.20390564951650283,21.366120218579233
BREAKOUT,ASIAN_RANGE_RETEST,wf_1,EURUSD,393,-0.21556960977962758,0.3256997455470738,0.5941646213878009,0.22648456302234796,-0.3074284908835633,-1.1039455790814678,-0.3074284908835633,15.69974554707379
BREAKOUT,ASIAN_RANGE_RETEST,wf_1,GBPUSD,403,-0.1639264361181466,0.3424317617866005,0.6881349526390449,0.16636226094272577,-0.22067509384132378,-1.059410316925477,-0.22067509384132378,19.392059553349878
BREAKOUT,ASIAN_RANGE_RETEST,wf_1,USDJPY,371,-0.11466974627288484,0.3746630727762803,0.7632383536083723,0.13489467606118496,-0.1626500866378602,-1.0626680605130339,-0.1626500866378602,18.58490566037736
BREAKOUT,ASIAN_RANGE_RETEST,wf_2,AUDUSD,391,-0.2958349846351013,0.2813299232736573,0.4603099277483978,0.2958349846351013,-0.4470453589349777,-1.1209183748869074,-0.4470453589349777,22.723785166240408
BREAKOUT,ASIAN_RANGE_RETEST,wf_2,EURUSD,431,-0.33164642590300875,0.27842227378190254,0.44450939031285464,0.3333104155387677,-0.4659686597899232,-1.1406348578223124,-0.4659686597899232,20.51044083526682
BREAKOUT,ASIAN_RANGE_RETEST,wf_2,GBPUSD,343,-0.1655080138462386,0.3323615160349854,0.6392093785591342,0.17035607262937857,-0.2623014533075221,-1.0691775291265428,-0.2623014533075221,23.35276967930029
BREAKOUT,ASIAN_RANGE_RETEST,wf_2,USDJPY,369,-0.09781383540977506,0.38482384823848237,0.7957042518956228,0.10622937461804517,-0.13797657178755532,-1.0564736759982456,-0.13797657178755532,21.54471544715447
BREAKOUT,ASIAN_RANGE_RETEST,wf_3,AUDUSD,404,-0.3105255108956818,0.3069306930693069,0.4594064264925238,0.312358061728239,-0.4586353553885603,-1.163827467506151,-0.4586353553885603,16.25
